voltage_list,tap,reg_voltage,vreg,ptratio,v_base,patamar
"[0.9808300137519836, 0.9776600003242493, 0.9776700139045715, 0.9728099703788757, 0.9792699813842773]",0,0.98414,123.0,63.496,7967.433714816837,149
"[0.9808200001716614, 0.9776600003242493, 0.9776700139045715, 0.9728099703788757, 0.9792600274085999]",0,0.98413,123.0,63.496,7967.433714816837,150
"[0.9808200001716614, 0.9776600003242493, 0.9776600003242493, 0.9728000164031982, 0.9792600274085999]",0,0.98413,123.0,63.496,7967.433714816837,151
"[0.9808200001716614, 0.977649986743927, 0.9776600003242493, 0.9728000164031982, 0.9792600274085999]",0,0.98413,123.0,63.496,7967.433714816837,152
"[0.9808099865913391, 0.977649986743927, 0.9776600003242493, 0.9728000164031982, 0.9792600274085999]",0,0.98412,123.0,63.496,7967.433714816837,153
"[0.9808099865913391, 0.977649986743927, 0.977649986743927, 0.972790002822876, 0.9792500138282776]",0,0.98412,123.0,63.496,7967.433714816837,154
"[0.9808099865913391, 0.9776399731636047, 0.977649986743927, 0.972790002822876, 0.9792500138282776]",0,0.98412,123.0,63.496,7967.433714816837,155
"[0.9807999730110168, 0.9776399731636047, 0.977649986743927, 0.972790002822876, 0.9792500138282776]",0,0.98412,123.0,63.496,7967.433714816837,156
"[0.9807999730110168, 0.9776399731636047, 0.9776399731636047, 0.9727799892425537, 0.9792400002479553]",0,0.98411,123.0,63.496,7967.433714816837,157
"[0.9807900190353394, 0.9776300191879272, 0.9776399731636047, 0.9727799892425537, 0.9792400002479553]",0,0.98411,123.0,63.496,7967.433714816837,158
"[0.9807900190353394, 0.9776300191879272, 0.9776399731636047, 0.9727799892425537, 0.9792400002479553]",0,0.98411,123.0,63.496,7967.433714816837,159
"[0.9807900190353394, 0.9776300191879272, 0.9776300191879272, 0.9727699756622314, 0.9792400002479553]",0,0.9841,123.0,63.496,7967.433714816837,160
"[0.9807800054550171, 0.977620005607605, 0.9776300191879272, 0.9727699756622314, 0.9792299866676331]",0,0.9841,123.0,63.496,7967.433714816837,161
"[0.9807800054550171, 0.977620005607605, 0.9776300191879272, 0.9727699756622314, 0.9792299866676331]",0,0.9841,123.0,63.496,7967.433714816837,162
"[0.9807800054550171, 0.977620005607605, 0.977620005607605, 0.972760021686554, 0.9792299866676331]",0,0.98409,123.0,63.496,7967.433714816837,163
"[0.9807699918746948, 0.9776099920272827, 0.977620005607605, 0.972760021686554, 0.9792199730873108]",0,0.98409,123.0,63.496,7967.433714816837,164
"[0.9807699918746948, 0.9776099920272827, 0.977620005607605, 0.9727500081062317, 0.9792199730873108]",0,0.98409,123.0,63.496,7967.433714816837,165
"[0.9807699918746948, 0.9776099920272827, 0.9776099920272827, 0.9727500081062317, 0.9792199730873108]",0,0.98408,123.0,63.496,7967.433714816837,166
"[0.9807599782943726, 0.9775999784469604, 0.9776099920272827, 0.9727500081062317, 0.9792100191116333]",0,0.98408,123.0,63.496,7967.433714816837,167
"[0.9807599782943726, 0.9775999784469604, 0.9776099920272827, 0.9727399945259094, 0.9792100191116333]",0,0.98408,123.0,63.496,7967.433714816837,168
"[0.9807599782943726, 0.9775999784469604, 0.9775999784469604, 0.9727399945259094, 0.9792100191116333]",0,0.98407,123.0,63.496,7967.433714816837,169
"[0.9807500243186951, 0.977590024471283, 0.9775999784469604, 0.9727399945259094, 0.9792100191116333]",0,0.98407,123.0,63.496,7967.433714816837,170
"[0.9807500243186951, 0.977590024471283, 0.9775999784469604, 0.9727299809455872, 0.979200005531311]",0,0.98407,123.0,63.496,7967.433714816837,171
"[0.9807500243186951, 0.977590024471283, 0.977590024471283, 0.9727299809455872, 0.979200005531311]",0,0.98406,123.0,63.496,7967.433714816837,172
"[0.9807400107383728, 0.9775800108909607, 0.977590024471283, 0.9727299809455872, 0.979200005531311]",0,0.98406,123.0,63.496,7967.433714816837,173
"[0.9807400107383728, 0.9775800108909607, 0.977590024471283, 0.9727200269699097, 0.9791899919509888]",0,0.98406,123.0,63.496,7967.433714816837,174
"[0.9807400107383728, 0.9775800108909607, 0.9775800108909607, 0.9727200269699097, 0.9791899919509888]",0,0.98406,123.0,63.496,7967.433714816837,175
"[0.9807299971580505, 0.9775699973106384, 0.9775800108909607, 0.9727200269699097, 0.9791899919509888]",0,0.98405,123.0,63.496,7967.433714816837,176
"[0.9807299971580505, 0.9775699973106384, 0.9775800108909607, 0.9727100133895874, 0.9791799783706665]",0,0.98405,123.0,63.496,7967.433714816837,177
"[0.9807299971580505, 0.9775699973106384, 0.9775699973106384, 0.9727100133895874, 0.9791799783706665]",0,0.98405,123.0,63.496,7967.433714816837,178
"[0.9807199835777283, 0.9775599837303162, 0.9775699973106384, 0.9727100133895874, 0.9791799783706665]",0,0.98404,123.0,63.496,7967.433714816837,179
"[0.9807199835777283, 0.9775599837303162, 0.9775699973106384, 0.9726999998092651, 0.9791799783706665]",0,0.98404,123.0,63.496,7967.433714816837,180
"[0.9807199835777283, 0.9775599837303162, 0.9775599837303162, 0.9726999998092651, 0.979170024394989]",0,0.98404,123.0,63.496,7967.433714816837,181
